[2025-11-05 05:53:48.128] I [OvenMediaEngine:1] Publisher | application.cpp:226  | WebRTC Publisher Application has created [#default#app] application
[2025-11-05 05:53:48.129] I [OvenMediaEngine:1] Publisher | application.cpp:226  | LLHLS Publisher Application has created [#default#app] application
[2025-11-05 05:53:48.129] I [OvenMediaEngine:1] Publisher | application.cpp:226  | OVTPublisher Application has created [#default#app] application
[2025-11-05 05:53:48.129] W [OvenMediaEngine:1] Publisher | publisher.cpp:68   | File publisher is disabled in #default#app application, so it was not created
[2025-11-05 05:53:48.129] W [OvenMediaEngine:1] Publisher | publisher.cpp:68   | Push publisher is disabled in #default#app application, so it was not created
[2025-11-05 05:53:48.129] I [OvenMediaEngine:1] Transcoder | transcoder_application.cpp:34   | Created transcoder application. [#default#app]
[2025-11-05 05:53:48.129] I [OvenMediaEngine:1] Transcoder | transcoder.cpp:97   | Transcoder has created [config][#default#app] application
[2025-11-05 05:53:48.129] I [OvenMediaEngine:1] Provider | application.cpp:46   | WebRTCProvider has created [#default#app] application
[2025-11-05 05:53:48.129] I [OvenMediaEngine:1] Provider | application.cpp:46   | SrtProvider has created [#default#app] application
[2025-11-05 05:53:48.130] I [OvenMediaEngine:1] Provider | application.cpp:46   | RTMPProvider has created [#default#app] application
[2025-11-05 05:53:48.130] I [OvenMediaEngine:1] Provider | application.cpp:46   | OVTProvider has created [#default#app] application
[2025-11-05 05:53:48.130] I [OvenMediaEngine:1] Provider | application.cpp:46   | RTSPCProvider has created [#default#app] application
[2025-11-05 05:53:48.130] I [OvenMediaEngine:1] Provider | application.cpp:46   | ScheduledProvider has created [#default#app] application
[2025-11-05 05:53:48.130] W [OvenMediaEngine:1] Provider | provider.cpp:91   | Multiplex provider is disabled in #default#app application, so it was not created
[2025-11-05 05:53:48.130] I [OvenMediaEngine:1] APIServer | api_server.cpp:123  | API Server is disabled by configuration
[2025-11-05 05:55:05.933] W [OvenMediaEngine:1] OvenMediaEngine | signals.cpp:343  | Caught terminate signal 15. OME is terminating...
[2025-11-05 05:55:05.934] I [OvenMediaEngine:1] Monitor | server_metrics.cpp:80   | Delete HostMetrics(default/788eaae4-a301-431c-a58a-701ea6b5fbbf/#default#) for monitoring
[2025-11-05 05:55:05.934] I [OvenMediaEngine:1] Orchestrator | orchestrator.cpp:277  | Trying to delete an application: [#default#app] (0)
[2025-11-05 05:55:05.934] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:243  | Unregistered observer. app(#default#app) type(3)
[2025-11-05 05:55:05.934] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(0)
[2025-11-05 05:55:05.934] I [OvenMediaEngine:1] Provider | application.cpp:61   | ScheduledProvider has deleted [#default#app] application
[2025-11-05 05:55:05.934] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(0)
[2025-11-05 05:55:05.997] I [OvenMediaEngine:1] Provider | application.cpp:61   | RTSPCProvider has deleted [#default#app] application
[2025-11-05 05:55:05.997] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(0)
[2025-11-05 05:55:06.097] I [OvenMediaEngine:1] Provider | application.cpp:61   | OVTProvider has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(0)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Provider | application.cpp:61   | RTMPProvider has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(0)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Provider | application.cpp:61   | SrtProvider has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(0)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Provider | application.cpp:61   | WebRTCProvider has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:243  | Unregistered observer. app(#default#app) type(1)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:205  | Unregistered connector. app(#default#app) type(1)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Transcoder | transcoder.cpp:133  | Transcoder has deleted [config][#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Transcoder | transcoder_application.cpp:39   | Transcoder application has been destroyed. [#default#app]
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Publisher | application.cpp:245  | OVTPublisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:243  | Unregistered observer. app(#default#app) type(0)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Publisher | application.cpp:245  | OVTPublisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Publisher | application.cpp:245  | OVTPublisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Publisher | application.cpp:245  | LLHLS Publisher Application has deleted [#default#app] application
